heating_systems,base_load_energy_product,peak_load_energy_product,tertiary_load_energy_product,tertiary_load_coverage,base_load_coverage,peak_load_coverage,base_load_efficiency,peak_load_efficiency,tertiary_load_efficiency,domestic_hot_water_energy_product,domestic_hot_water_efficiency,Spesifikt elforbruk,cooling_efficiency
Electric boiler,Electricity,Ingen,Ingen,0.0,1.0,0.0,0.98,1.0,1,Electricity,0.98,1,4
DH,DH,Ingen,Ingen,0.0,1.0,0.0,0.99,1.0,1,DH,0.99,1,4
Electricity,Electricity,Ingen,Ingen,0.0,1.0,0.0,1.0,1.0,1,Electricity,0.98,1,4
Gas,Fossil,Ingen,Ingen,0.0,1.0,0.0,0.96,0.96,1,Fossil,0.96,1,4
Electricity - Bio,Electricity,Bio,Ingen,0.0,0.7,0.3,1.0,0.65,1,Electricity,0.98,1,4
DH - Bio,DH,Bio,Ingen,0.0,0.95,0.05,0.99,0.65,1,DH,0.99,1,4
HP - Bio - Electricity,Electricity,Bio,Electricity,0.28,0.62,0.1,2.5,0.65,1,Electricity,0.98,1,4
HP - Electricity,Electricity,Electricity,Ingen,0.0,0.62,0.38,2.5,1.0,1,Electricity,0.98,1,4
HP Central heating - Electric boiler,Electricity,Electricity,Ingen,0.0,0.85,0.15,3.0,0.99,1,Electricity,3.0,1,4
HP Central heating - Gas,Electricity,Fossil,Ingen,0.0,0.85,0.15,3.0,0.96,1,Electricity,3.0,1,4
Electric boiler - Solar,Electricity,Solar,Ingen,0.0,0.85,0.15,0.98,0.7,1,Electricity,0.98,1,4
HP Central heating - Bio,Electricity,Bio,Ingen,0.0,0.85,0.15,3.0,0.65,1,Electricity,3.0,1,4
