building_category,building_code,heating_systems,new_heating_systems,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
non_residential,default,Gas,HP Central heating - Electric boiler,0.2,0.333333334,0.466666666,0.6,0.733333334,0.866666666,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
non_residential,default,Electricity,DH,0.018,0.023,0.027,0.03,0.033,0.036,0.039,0.044,0.048,0.053,0.057,0.061,0.066,0.07,0.074,0.078,0.081,0.085,0.089,0.093,0.096,0.1,0.103,0.107,0.112,0.117,0.122
non_residential,default,Electricity,HP Central heating - Electric boiler,0.014,0.018,0.021,0.024,0.026,0.029,0.031,0.035,0.039,0.042,0.046,0.049,0.052,0.056,0.059,0.062,0.065,0.068,0.071,0.074,0.077,0.08,0.083,0.086,0.09,0.094,0.098
non_residential,default,Electric boiler,DH,0.018,0.023,0.027,0.03,0.033,0.036,0.039,0.044,0.048,0.053,0.057,0.061,0.066,0.07,0.074,0.078,0.081,0.085,0.089,0.093,0.096,0.1,0.103,0.107,0.112,0.117,0.122
non_residential,default,Electric boiler,HP Central heating - Electric boiler,0.014,0.018,0.021,0.024,0.026,0.029,0.031,0.035,0.039,0.042,0.046,0.049,0.052,0.056,0.059,0.062,0.065,0.068,0.071,0.074,0.077,0.08,0.083,0.086,0.09,0.094,0.098
non_residential,default,HP Central heating - Gas,HP Central heating - Electric boiler,0.2,0.333333333,0.466666667,0.6,0.733333333,0.866666667,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
house,default,HP Central heating - Gas,HP Central heating - Electric boiler,0.2,0.333333333,0.466666667,0.6,0.733333333,0.866666667,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
house,default,Electricity - Bio,HP - Bio - Electricity,0.03,0.065625,0.10125,0.136875,0.1725,0.208125,0.24375,0.279375,0.315,0.350625,0.38625,0.421875,0.4575,0.493125,0.52875,0.564375,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
apartment_block,default,Electricity,DH,0.05,0.06,0.06,0.07,0.08,0.09,0.09,0.1,0.11,0.11,0.12,0.12,0.13,0.14,0.14,0.15,0.15,0.16,0.16,0.17,0.18,0.18,0.19,0.19,0.2,0.2,0.2
apartment_block,default,Electricity,HP Central heating - Electric boiler,0.02,0.03,0.03,0.04,0.04,0.04,0.05,0.05,0.05,0.06,0.06,0.06,0.07,0.07,0.07,0.07,0.08,0.08,0.08,0.09,0.09,0.09,0.09,0.1,0.1,0.1,0.1
